user_date,deletions,additions
GitHub (2016-08-11T12:42:29Z),1,1
nightwing (2016-08-16T06:38:16Z),4,5
GitHub (2016-08-16T06:42:32Z),8,8
nightwing (2016-08-16T07:01:03Z),2,7
nightwing (2016-08-23T18:50:06Z),6,6
nightwing (2016-08-30T21:03:20Z),1,2
Tim Neumann (2016-09-02T10:19:16Z),7,23
nightwing (2016-09-02T19:27:34Z),4,21
GitHub (2016-09-02T20:00:42Z),4,21
GitHub (2016-09-02T20:04:43Z),7,23
GitHub (2016-09-02T20:08:22Z),1,2
GitHub (2016-09-04T08:15:22Z),2,2
GitHub (2016-09-04T09:31:02Z),1,1
GitHub (2016-09-04T09:32:15Z),1,1
Kevin Ushey (2016-09-27T19:28:32Z),7,7
GitHub (2016-09-27T20:05:20Z),7,7
GitHub (2016-10-09T21:42:22Z),9,9
James Allen (2016-10-11T11:12:31Z),0,4
GitHub (2016-10-15T19:06:11Z),2,2
GitHub (2016-10-28T00:16:50Z),0,4
GitHub (2016-10-28T09:17:40Z),10,10
GitHub (2016-11-03T08:57:52Z),2,2
Fabian Jakobs (2011-02-10T07:31:04Z),1,1
Fabian Jakobs (2011-02-10T07:33:31Z),2,4
Fabian Jakobs (2011-02-10T08:52:28Z),1,1
Fabian Jakobs (2011-02-10T08:54:22Z),1,1
Fabian Jakobs (2011-02-10T08:54:38Z),11,12
Fabian Jakobs (2011-02-10T09:10:58Z),1,7
Fabian Jakobs (2011-02-10T15:36:12Z),4,4
Fabian Jakobs (2011-02-10T15:36:27Z),0,294
Fabian Jakobs (2011-02-10T16:20:47Z),1,1
Fabian Jakobs (2011-02-10T16:21:05Z),4,42
Fabian Jakobs (2011-02-10T16:56:07Z),1,7
Fabian Jakobs (2011-02-10T17:20:57Z),0,27
Fabian Jakobs (2011-02-10T19:46:15Z),1,1
Fabian Jakobs (2011-02-11T06:40:31Z),3,9
Fabian Jakobs (2011-02-11T06:46:54Z),1,1
Fabian Jakobs (2011-02-11T06:56:31Z),0,35
Fabian Jakobs (2011-02-11T06:59:35Z),2,2
Fabian Jakobs (2011-02-11T07:09:55Z),49,79
Fabian Jakobs (2011-02-11T07:10:15Z),1,1
Fabian Jakobs (2011-02-11T07:10:44Z),152,95
Fabian Jakobs (2011-02-11T07:20:33Z),15,15
Fabian Jakobs (2011-02-11T07:21:17Z),8,5
Fabian Jakobs (2011-02-11T07:22:15Z),30,39
Fabian Jakobs (2011-02-11T07:22:22Z),1,1
Fabian Jakobs (2011-02-11T08:07:58Z),53,100
Fabian Jakobs (2011-02-11T10:34:21Z),51,61
Fabian Jakobs (2011-02-11T10:34:35Z),9,0
Fabian Jakobs (2011-02-11T10:41:38Z),4,4
Fabian Jakobs (2011-02-11T10:51:01Z),36,13
Fabian Jakobs (2011-02-11T10:56:27Z),7,4
