user_date,deletions,additions
Mike Bostock (2012-11-12T21:28:23Z),532,2
Mike Bostock (2012-11-12T21:33:07Z),138,2
Mike Bostock (2012-11-12T21:43:43Z),900,4
Mike Bostock (2012-11-13T01:30:05Z),126,2
Mike Bostock (2012-11-13T01:44:05Z),5421,2
Mike Bostock (2012-11-13T02:11:34Z),104,2
Mike Bostock (2012-11-13T02:14:34Z),110,2
Mike Bostock (2012-11-13T02:20:34Z),124,4
Mike Bostock (2012-11-13T02:23:05Z),122,2
Mike Bostock (2012-11-13T02:31:08Z),152,2
Mike Bostock (2012-11-13T02:33:17Z),5110,1
Mike Bostock (2012-11-13T03:02:33Z),3697,2
James Campos (2013-03-03T03:12:13Z),0,1
Mike Bostock (2013-03-03T03:38:24Z),0,1
Jason Davies (2013-04-25T12:46:07Z),0,6
Jason Davies (2013-04-25T13:05:09Z),1,1
Mike Bostock (2013-05-30T05:28:35Z),3,4
Mark Otaris (2013-07-13T00:16:26Z),1,1
Mike Bostock (2013-07-13T00:19:45Z),1,1
Eric Theise (2013-08-04T22:36:44Z),1,1
Mike Bostock (2013-08-05T00:14:37Z),1,1
Mike Bostock (2013-10-02T15:44:40Z),0,1
Mike Bostock (2013-11-06T19:11:14Z),450,2
Jason Davies (2013-03-22T00:01:16Z),0,30
Mike Bostock (2013-03-22T22:38:56Z),13,71
Mike Bostock (2013-03-24T23:44:28Z),5,5
Mike Bostock (2013-03-24T23:51:00Z),10,10
Jason Davies (2013-03-25T08:51:16Z),0,21
Jason Davies (2013-03-25T10:29:37Z),0,3
Lee Leathers (2013-03-27T06:49:52Z),1,7
Dan Tillberg (2013-03-30T00:23:57Z),13,18
Mike Bostock (2013-03-31T16:46:07Z),57,150
Mike Bostock (2013-03-31T16:48:10Z),53,53
John Firebaugh (2013-04-02T16:00:45Z),0,1
Mike Bostock (2013-04-02T20:56:07Z),0,1
Mike Bostock (2013-04-03T04:51:29Z),0,12
Dan Milon (2013-04-03T17:41:46Z),2,6
Mike Bostock (2013-04-03T17:44:13Z),2,6
Mike Bostock (2013-04-03T17:46:15Z),5,7
Mike Bostock (2013-04-03T17:54:21Z),1,7
Mike Bostock (2013-04-03T17:54:52Z),1,7
Mike Bostock (2013-04-05T03:50:51Z),6,12
Mike Bostock (2013-04-07T02:16:12Z),110,203
Mike Bostock (2013-04-07T02:16:38Z),6,12
Mike Bostock (2013-04-07T02:21:58Z),28,36
Mike Bostock (2013-04-07T02:27:55Z),30,22
Mike Bostock (2013-04-07T02:29:44Z),144,243
Chia-liang Kao (2013-04-11T15:10:08Z),2,2
Chia-liang Kao (2013-04-11T15:10:08Z),1,1
Mike Bostock (2013-04-11T16:21:37Z),3,3
Jason Davies (2013-04-11T17:20:44Z),1,1
Mike Bostock (2013-04-19T21:01:36Z),16,80
Mike Bostock (2013-04-19T21:06:41Z),19,20
Jason Davies (2014-03-20T14:24:57Z),2,2
Roger Bramon (2014-03-21T21:04:36Z),0,136
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Mike Bostock (2014-04-02T17:28:44Z),0,56
Mike Bostock (2014-04-02T17:30:06Z),1,1
Jason Davies (2013-09-16T23:09:47Z),19,44
Mike Bostock (2013-09-19T03:12:45Z),5,5
Mike Bostock (2013-09-19T03:36:54Z),3,11
Mike Bostock (2013-09-19T03:50:12Z),19,44
Mike Bostock (2013-09-19T03:51:12Z),5,5
Mike Bostock (2013-09-19T03:51:35Z),3,11
Mike Bostock (2013-09-19T03:52:44Z),36,66
Mike Bostock (2013-09-21T17:37:15Z),28,61
Mike Bostock (2013-09-21T18:49:09Z),33,66
Jason Davies (2013-09-24T18:03:23Z),28,74
Jason Davies (2013-09-24T19:08:33Z),19,23
Jason Davies (2013-09-24T19:39:33Z),36,56
Mike Bostock (2013-09-25T04:22:16Z),7,7
Mike Bostock (2013-09-25T04:31:08Z),3,3
Jason Davies (2013-09-25T18:15:32Z),24,21
Jason Davies (2013-09-25T18:24:28Z),31,17
Mike Bostock (2013-09-25T18:39:46Z),5,3
Mike Bostock (2013-09-25T18:43:53Z),49,53
Mike Bostock (2013-09-25T18:44:50Z),3,2
Mike Bostock (2013-09-25T19:00:50Z),7,7
Mike Bostock (2013-09-25T19:53:21Z),26,76
Jason Davies (2013-09-26T15:51:35Z),39,34
Mike Bostock (2013-09-26T21:08:16Z),35,30
Mike Bostock (2013-09-26T21:26:06Z),9,9
Mike Bostock (2013-09-26T21:38:01Z),6,6
Mike Bostock (2013-09-26T21:38:51Z),197,241
Jason Davies (2013-10-03T15:57:54Z),184,259
Jason Davies (2013-10-03T16:20:44Z),9,10
Jason Davies (2013-10-03T18:34:18Z),61,53
Jason Davies (2013-10-03T20:08:48Z),5,5
Mike Bostock (2013-09-05T18:21:15Z),85,133
Jason Davies (2013-09-05T18:53:01Z),3,3
Jason Davies (2013-09-05T21:24:46Z),4,1
Jason Davies (2013-09-16T23:09:47Z),19,44
Mike Bostock (2013-09-19T03:12:45Z),5,5
Mike Bostock (2013-09-19T03:36:54Z),3,11
Mike Bostock (2013-09-19T03:50:12Z),19,44
Mike Bostock (2013-09-19T03:51:12Z),5,5
Mike Bostock (2013-09-19T03:51:35Z),3,11
Mike Bostock (2013-09-19T03:52:44Z),36,66
Mike Bostock (2013-09-21T17:37:15Z),28,61
Mike Bostock (2013-09-21T18:49:09Z),33,66
Jason Davies (2013-09-24T18:03:23Z),28,74
Jason Davies (2013-09-24T19:08:33Z),19,23
Jason Davies (2013-09-24T19:39:33Z),36,56
Mike Bostock (2013-09-25T04:22:16Z),7,7
Mike Bostock (2013-09-25T04:31:08Z),3,3
Jason Davies (2013-09-25T18:15:32Z),24,21
Jason Davies (2013-09-25T18:24:28Z),31,17
Mike Bostock (2013-09-25T18:39:46Z),5,3
Mike Bostock (2013-09-25T18:43:53Z),49,53
Mike Bostock (2013-09-25T18:44:50Z),3,2
Mike Bostock (2013-09-25T19:00:50Z),7,7
Mike Bostock (2013-09-25T19:53:21Z),26,76
Jason Davies (2013-09-26T15:51:35Z),39,34
Mike Bostock (2013-09-26T21:08:16Z),35,30
Mike Bostock (2013-09-26T21:26:06Z),9,9
Mike Bostock (2013-09-26T21:38:01Z),6,6
Mike Bostock (2013-09-26T21:38:51Z),197,241
Jason Davies (2013-10-02T09:49:30Z),5,62
Jason Davies (2014-03-20T14:20:55Z),1,17
Jason Davies (2014-03-20T14:24:57Z),2,2
Roger Bramon (2014-03-21T21:04:36Z),0,136
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
